Trait (obs), white mean, black mean, s1, s2, n1, n2, p value
host_race_white (), .64, .63, .48,.48,3203,3187,.15
host_race_black (), .08, .08, .27,.27,3203,3187,.97
host_gender_F (), .38, .37, .49,.48,3203,3187,.44
host_gender_M (), .3, .3, .46,.46,3203,3187,.9
price (), 166.43, 195.81, 256.53,1793.11,3154,3148,.36
bedrooms (), 3.18, 3.18, 2.24,2.29,3128,3114,.96
bathrooms (), 3.17, 3.17, 2.23,2.3,3147,3138,.93
number_of_reviews (), 30.71, 31.03, 70.90000000000001,74.09,3203,3187,.86
multiple_listings (), .32, .33, .47,.47,3203,3187,.45
any_black (), .29, .28, .45,.45,3203,3187,.38
tract_listings (), 9.49, 9.540000000000001, 9.35,9.200000000000001,3203,3187,.85
black_proportion (), .14, .14, .21,.2,3194,3184,.92
